"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","www.example.com/93.184.216.34","443","INFO","HTTP","","",""
"pre_128cipher","www.example.com/93.184.216.34","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","www.example.com/93.184.216.34","443","OK","not offered","","",""
"SSLv3","www.example.com/93.184.216.34","443","OK","not offered","","",""
"TLS1","www.example.com/93.184.216.34","443","LOW","offered (deprecated)","","",""
"TLS1_1","www.example.com/93.184.216.34","443","LOW","offered (deprecated)","","",""
"TLS1_2","www.example.com/93.184.216.34","443","OK","offered","","",""
"TLS1_3","www.example.com/93.184.216.34","443","OK","offered with final","","",""
"NPN","www.example.com/93.184.216.34","443","INFO","offered with h2, http/1.1, http/1.0, h3, h3-29, h3-Q050, h3-Q046, h3-Q043 (advertised)","","",""
"ALPN_HTTP2","www.example.com/93.184.216.34","443","OK","h2","","",""
"ALPN","www.example.com/93.184.216.34","443","INFO","http/1.1","","",""
"GREASE","www.example.com/93.184.216.34","443","OK","No bugs found.","","",""
"cipherlist_NULL","www.example.com/93.184.216.34","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","www.example.com/93.184.216.34","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","www.example.com/93.184.216.34","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","www.example.com/93.184.216.34","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","www.example.com/93.184.216.34","443","INFO","not offered","","CWE-310",""
"cipherlist_AVERAGE","www.example.com/93.184.216.34","443","LOW","offered","","CWE-310",""
"cipherlist_GOOD","www.example.com/93.184.216.34","443","OK","offered","","",""
"cipherlist_STRONG","www.example.com/93.184.216.34","443","OK","offered","","",""
"cipher_order","www.example.com/93.184.216.34","443","OK","server","","",""
"protocol_negotiated","www.example.com/93.184.216.34","443","OK","Default protocol TLS1.3","","",""
"cipher_negotiated","www.example.com/93.184.216.34","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","","",""
"cipher-tls1_xc013","www.example.com/93.184.216.34","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_xc014","www.example.com/93.184.216.34","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_x33","www.example.com/93.184.216.34","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_x39","www.example.com/93.184.216.34","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_x88","www.example.com/93.184.216.34","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","","",""
"cipher-tls1_x45","www.example.com/93.184.216.34","443","LOW","TLSv1   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","","",""
"cipher-tls1_x35","www.example.com/93.184.216.34","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_x84","www.example.com/93.184.216.34","443","LOW","TLSv1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","","",""
"cipher-tls1_x2f","www.example.com/93.184.216.34","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_x41","www.example.com/93.184.216.34","443","LOW","TLSv1   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","","",""
"cipher-tls1_x9a","www.example.com/93.184.216.34","443","LOW","TLSv1   x9a     DHE-RSA-SEED-SHA                  DH 2048    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","","",""
"cipher-tls1_x96","www.example.com/93.184.216.34","443","LOW","TLSv1   x96     SEED-SHA                          RSA        SEED        128      TLS_RSA_WITH_SEED_CBC_SHA","","",""
"cipherorder_TLSv1","www.example.com/93.184.216.34","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA256-SHA DHE-RSA-CAMELLIA128-SHA AES256-SHA CAMELLIA256-SHA AES128-SHA CAMELLIA128-SHA DHE-RSA-SEED-SHA SEED-SHA","","",""
"cipher-tls1_1_xc013","www.example.com/93.184.216.34","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_1_xc014","www.example.com/93.184.216.34","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_1_x33","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_1_x39","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_1_x88","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","","",""
"cipher-tls1_1_x45","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","","",""
"cipher-tls1_1_x35","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_1_x84","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","","",""
"cipher-tls1_1_x2f","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_1_x41","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","","",""
"cipher-tls1_1_x9a","www.example.com/93.184.216.34","443","LOW","TLSv1.1   x9a     DHE-RSA-SEED-SHA                  DH 2048    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","","",""
